# Text file exported from ECOMAC v0.266, Fri May 10 13:38:21 2019
#
# method info
Method: "Noname"
Method description: ""
#
# analysis info
SampleID: "Unknown"
Description: ""
Analyst: "Anonymous"
Note: ""
Station: "1"
Injection: "10.5.2019 12:52:48 +0200"
#
# device info
Converter: ORCA2800 (169.254.21.39:10001, type: 002, fw: 100, sn: 7010231)
#
# data plots (count: 1; 3982), marks (count: 0)
Time [min];Signal A [mV]
0,000421697302;215,639400000000
0,002088363969;215,663600000000
0,003755030636;215,688100000000
0,005421697302;215,711000000000
0,007084197302;215,729800000000
0,008750863969;215,747600000000
0,010417530636;215,763400000000
0,012084197302;215,776700000000
0,013750863969;215,788400000000
0,015417530636;215,797500000000
0,017084197302;215,805900000000
0,018750863969;215,814300000000
0,020417530636;215,819200000000
0,022084197302;215,820500000000
0,023746697302;215,830300000000
0,025413363969;215,837700000000
0,027080030636;215,841700000000
0,028746697302;215,845700000000
0,030413363969;215,849800000000
0,032080030636;215,853300000000
0,033746697302;215,857300000000
0,035413363969;215,861200000000
0,037080030636;215,863400000000
0,038746697302;215,865700000000
0,040413363969;215,867600000000
0,042075863969;215,870100000000
0,043742530636;215,873600000000
0,045409197302;215,875800000000
0,047075863969;215,878300000000
0,048742530636;215,880700000000
0,050409197302;215,882700000000
0,052075863969;215,880700000000
0,053742530636;215,885400000000
0,055409197302;215,890400000000
0,057075863969;215,891800000000
0,058742530636;215,893100000000
0,060405030636;215,894600000000
0,062071697302;215,896500000000
0,063738363969;215,898500000000
0,065405030636;215,899700000000
0,067071697302;215,901500000000
0,068738363969;215,903700000000
0,070405030636;215,904400000000
0,072071697302;215,904200000000
0,073738363969;215,905200000000
0,075405030636;215,905900000000
0,077071697302;215,906400000000
0,078734197302;215,907600000000
0,080400863969;215,910100000000
0,082067530636;215,910900000000
0,083734197302;215,910600000000
0,085400863969;215,911300000000
0,087067530636;215,913300000000
0,088734197302;215,913800000000
0,090400863969;215,912800000000
0,092067530636;215,913100000000
0,093734197302;215,914100000000
0,095400863969;215,914300000000
0,097063363969;215,916500000000
0,098730030636;215,919000000000
0,100396697302;215,917300000000
0,102063363969;215,916500000000
0,103730030636;215,916000000000
0,105396697302;215,916800000000
0,107063363969;215,916800000000
0,108730030636;215,916500000000
0,110396697302;215,916800000000
0,112063363969;215,917000000000
0,113730030636;215,916800000000
0,115392530636;215,916800000000
0,117059197302;215,916800000000
0,118725863969;215,915500000000
0,120392530636;215,916300000000
0,122059197302;215,916800000000
0,123725863969;215,916800000000
0,125392530636;215,915800000000
0,127059197302;215,916300000000
0,128725863969;215,916800000000
0,130392530636;215,916500000000
0,132059197302;215,914300000000
0,133721697302;215,910600000000
0,135388363969;215,913100000000
0,137055030636;215,913600000000
0,138721697302;215,914100000000
0,140388363969;215,913800000000
0,142055030636;215,913100000000
0,143721697302;215,912300000000
0,145388363969;215,912100000000
0,147055030636;215,911600000000
0,148721697302;215,911300000000
0,150388363969;215,910400000000
0,152050863969;215,909600000000
0,153717530636;215,909400000000
0,155384197302;215,908100000000
0,157050863969;215,907100000000
0,158717530636;215,906200000000
0,160384197302;215,905400000000
0,162050863969;215,905200000000
0,163717530636;215,904700000000
0,165384197302;215,903200000000
0,167050863969;215,902200000000
0,168717530636;215,901700000000
0,170380030636;215,900500000000
0,172046697302;215,899200000000
0,173713363969;215,898500000000
0,175380030636;215,897300000000
0,177046697302;215,896300000000
0,178713363969;215,894300000000
0,180380030636;215,893800000000
0,182046697302;215,892600000000
0,183713363969;215,891600000000
0,185380030636;215,890600000000
0,187046697302;215,890400000000
0,188709197302;215,888600000000
0,190375863969;215,887900000000
0,192042530636;215,886200000000
0,193709197302;215,884900000000
0,195375863969;215,883700000000
0,197042530636;215,883200000000
0,198709197302;215,882000000000
0,200375863969;215,880500000000
0,202042530636;215,880200000000
0,203709197302;215,880000000000
0,205375863969;215,878500000000
0,207038363969;215,876300000000
0,208705030636;215,875300000000
0,210371697302;215,874500000000
0,212038363969;215,874800000000
0,213705030636;215,874100000000
0,215371697302;215,873100000000
0,217038363969;215,872300000000
0,218705030636;215,870300000000
0,220371697302;215,869600000000
0,222038363969;215,869400000000
0,223705030636;215,869900000000
0,225367530636;215,868100000000
0,227034197302;215,866400000000
0,228700863969;215,866200000000
0,230367530636;215,865700000000
0,232034197302;215,864200000000
0,233700863969;215,862900000000
0,235367530636;215,862200000000
0,237034197302;215,862200000000
0,238700863969;215,861500000000
0,240367530636;215,860200000000
0,242034197302;215,860500000000
0,243696697302;215,859000000000
0,245363363969;215,858200000000
0,247030030636;215,858000000000
0,248696697302;215,857000000000
0,250363363969;215,856000000000
0,252030030636;215,855300000000
0,253696697302;215,853300000000
0,255363363969;215,849100000000
0,257030030636;215,848100000000
0,258696697302;215,849800000000
0,260359197302;215,850100000000
0,262025863969;215,850100000000
0,263692530636;215,849400000000
0,265359197302;215,848400000000
0,267025863969;215,846900000000
0,268692530636;215,845400000000
0,270359197302;215,843700000000
0,272025863969;215,842400000000
0,273692530636;215,842400000000
0,275359197302;215,841900000000
0,277025863969;215,841200000000
0,278688363969;215,839700000000
0,280355030636;215,838500000000
0,282021697302;215,837000000000
0,283688363969;215,836000000000
0,285355030636;215,835300000000
0,287021697302;215,834500000000
0,288688363969;215,834800000000
0,290355030636;215,834300000000
0,292021697302;215,833800000000
0,293688363969;215,833500000000
0,295355030636;215,833100000000
0,297017530636;215,832600000000
0,298684197302;215,831600000000
0,300350863969;215,831600000000
0,302017530636;215,831300000000
0,303684197302;215,831100000000
0,305350863969;215,830600000000
0,307017530636;215,830300000000
0,308684197302;215,830100000000
0,310350863969;215,830800000000
0,312017530636;215,830800000000
0,313684197302;215,829600000000
0,315346697302;215,829100000000
0,317013363969;215,829400000000
0,318680030636;215,829600000000
0,320346697302;215,829600000000
0,322013363969;215,828900000000
0,323680030636;215,828400000000
0,325346697302;215,827400000000
0,327013363969;215,826900000000
0,328680030636;215,826600000000
0,330346697302;215,825400000000
